t,whenRes,ms.x,ms.v,ms.a
1.200000,8,544.000000,0.000000,12372.000000
1.220000,8,546.474400,247.440000,12372.000000
1.240000,8,553.897600,494.880000,12372.000000
1.260000,8,566.269600,742.320000,12372.000000
1.280000,16,583.582897,976.134865,0.000000
1.300000,16,603.105595,976.134865,0.000000
1.320000,16,622.628292,976.134865,0.000000
1.340000,16,642.150989,976.134865,0.000000
1.360000,16,661.673687,976.134865,0.000000
1.380000,16,681.196384,976.134865,0.000000
1.400000,16,700.719081,976.134865,0.000000
1.420000,16,720.241778,976.134865,0.000000
1.440000,16,739.764476,976.134865,0.000000
1.460000,16,759.287173,976.134865,0.000000
1.480000,16,778.809870,976.134865,0.000000
1.500000,16,798.332568,976.134865,0.000000
1.520000,16,817.855265,976.134865,0.000000
1.540000,16,837.377962,976.134865,0.000000
1.560000,16,856.900660,976.134865,0.000000
1.580000,16,876.423357,976.134865,0.000000
1.600000,16,895.946054,976.134865,0.000000
1.620000,16,915.468751,976.134865,0.000000
1.640000,16,934.991449,976.134865,0.000000
1.660000,16,954.514146,976.134865,0.000000
1.680000,16,974.036843,976.134865,0.000000
1.700000,16,993.559541,976.134865,0.000000
1.720000,16,1013.082238,976.134865,0.000000
1.740000,16,1032.604935,976.134865,0.000000
1.760000,16,1052.127632,976.134865,0.000000
1.780000,16,1071.650330,976.134865,0.000000
1.800000,16,1091.173027,976.134865,0.000000
1.820000,16,1110.695724,976.134865,0.000000
1.840000,16,1130.218422,976.134865,0.000000
1.860000,16,1149.741119,976.134865,0.000000
1.880000,16,1169.263816,976.134865,0.000000
1.900000,16,1188.786514,976.134865,0.000000
1.920000,16,1208.309211,976.134865,0.000000
1.940000,16,1227.831908,976.134865,0.000000
1.960000,16,1247.354605,976.134865,0.000000
1.980000,16,1266.877303,976.134865,0.000000
2.000000,16,1286.400000,976.134865,0.000000
2.020000,16,1305.922697,976.134865,0.000000
2.040000,16,1325.445395,976.134865,0.000000
2.060000,16,1344.968092,976.134865,0.000000
2.080000,16,1364.490789,976.134865,0.000000
2.100000,16,1384.013486,976.134865,0.000000
2.120000,16,1403.536184,976.134865,0.000000
2.140000,16,1423.058881,976.134865,0.000000
2.160000,16,1442.581578,976.134865,0.000000
2.180000,16,1462.104276,976.134865,0.000000
2.200000,16,1481.626973,976.134865,0.000000
2.220000,16,1501.149670,976.134865,0.000000
2.240000,16,1520.672368,976.134865,0.000000
2.260000,16,1540.195065,976.134865,0.000000
2.280000,16,1559.717762,976.134865,0.000000
2.300000,16,1579.240459,976.134865,0.000000
2.320000,16,1598.763157,976.134865,0.000000
2.340000,16,1618.285854,976.134865,0.000000
2.360000,16,1637.808551,976.134865,0.000000
2.380000,16,1657.331249,976.134865,0.000000
2.400000,16,1676.853946,976.134865,0.000000
2.420000,16,1696.376643,976.134865,0.000000
2.440000,16,1715.899340,976.134865,0.000000
2.460000,16,1735.422038,976.134865,0.000000
2.480000,16,1754.944735,976.134865,0.000000
2.500000,16,1774.467432,976.134865,0.000000
2.520000,16,1793.990130,976.134865,0.000000
2.540000,16,1813.512827,976.134865,0.000000
2.560000,16,1833.035524,976.134865,0.000000
2.580000,16,1852.558222,976.134865,0.000000
2.600000,16,1872.080919,976.134865,0.000000
2.620000,16,1891.603616,976.134865,0.000000
2.640000,16,1911.126313,976.134865,0.000000
2.660000,16,1930.649011,976.134865,0.000000
2.680000,16,1950.171708,976.134865,0.000000
2.700000,16,1969.694405,976.134865,0.000000
2.720000,16,1989.217103,976.134865,0.000000
2.740000,16,2008.739800,976.134865,0.000000
2.760000,16,2028.262497,976.134865,0.000000
2.780000,16,2047.785194,976.134865,0.000000
2.800000,16,2067.307892,976.134865,0.000000
2.820000,16,2086.830589,976.134865,0.000000
2.840000,16,2106.353286,976.134865,0.000000
2.860000,16,2125.875984,976.134865,0.000000
2.880000,16,2145.398681,976.134865,0.000000
2.900000,16,2164.921378,976.134865,0.000000
2.920000,16,2184.444076,976.134865,0.000000
2.940000,16,2203.966773,976.134865,0.000000
2.960000,16,2223.489470,976.134865,0.000000
2.980000,16,2243.012167,976.134865,0.000000
3.000000,16,2262.534865,976.134865,0.000000
3.020000,16,2282.057562,976.134865,0.000000
3.040000,16,2301.580259,976.134865,0.000000
3.060000,16,2321.102957,976.134865,0.000000
3.080000,16,2340.625654,976.134865,0.000000
3.100000,24,2358.760000,824.800000,-8248.000000
3.120000,24,2373.606400,659.840000,-8248.000000
3.140000,24,2385.153600,494.880000,-8248.000000
3.160000,24,2393.401600,329.920000,-8248.000000
3.180000,24,2398.350400,164.960000,-8248.000000
3.200000,0,2400.000000,0.000000,0.000000
